user_id,top10_recommendations,groundtruth
3420,"[593, 1198, 527, 1265, 1136, 1704, 2797, 1, 2571, 2028]","[3186, 1500, 17, 1095, 3418, 1704, 3176, 25, 3893, 2144, 1221, 1333, 1517, 3299, 1613, 1257, 2797, 1997, 2023, 708, 2160, 1777]"
5634,"[1198, 1291, 1036, 589, 1968, 1136, 2028, 1610, 593, 2406]","[2003, 1968, 3489, 2124, 1777, 671, 1663, 2485, 1591, 1517, 198, 852, 2140, 1257, 208, 1215, 2872, 589, 1020, 3591, 44, 1285, 471, 1641, 50, 2054, 2105, 3499, 1895]"
3823,"[1198, 593, 1270, 296, 1208, 1197, 1136, 1220, 356, 1265]","[1008, 2009, 266, 2641, 1280, 517, 3633, 3251, 1250, 2001, 2370, 3135, 10, 707, 3418, 1047, 1693, 2990, 3032, 3420, 515, 1198, 2912, 161, 2347, 2403, 2983, 1964, 2991, 2117, 923, 141, 2006, 3167, 3681, 2023, 2540, 3363, 1876, 1376, 1945, 365, 3513, 1208, 21, 3062, 1466, 1371, 869, 349, 1722, 432, 170, 3074]"
2768,"[260, 593, 2571, 1270, 1197, 2028, 1210, 2918, 589, 858]","[593, 1258, 3052, 2918, 589, 1500, 1270, 2804, 1228, 1291]"
3842,"[296, 260, 1196, 593, 318, 1307, 1278, 2797, 1208, 1240]","[205, 2436, 1120, 1589, 778, 1997, 2202, 2174, 3105, 1258, 1240, 3060, 1271, 247, 3809, 2750, 500, 1261, 1845, 2145, 708, 3693, 162, 1288, 2804, 1486, 3676, 1585, 2788, 1333, 1358, 2097, 1095, 3049, 188, 1934, 21, 969, 1207, 1904, 908, 2583, 337, 322, 3526, 2150, 593, 2863, 296, 2285, 628, 3175, 1799, 410, 2247, 1884, 2841]"
4086,"[1270, 1196, 1198, 356, 1210, 1265, 1291, 318, 2918, 1036]","[2746, 2048, 480, 3081, 1020, 203, 2539, 333, 2513, 616, 3408, 1453, 1223, 1947, 2761, 258, 1888, 3247, 914, 2501, 356, 104, 2125, 216, 2169, 2394, 2, 2080, 700, 542, 2396, 1391, 3175, 2395, 1513, 2889, 1377, 830]"
2016,"[1198, 1196, 2571, 1291, 1036, 1097, 1387, 2028, 1136, 1265]","[1230, 3548, 208, 1278, 858, 3254, 3623, 1835, 93, 1092, 2530, 3639, 21, 1208, 3827, 1198, 2174, 1024, 2947, 3148, 3253, 1196, 1291, 3893, 3788, 3923, 720, 2058, 1527, 3263, 1094, 2080, 141]"
3672,"[260, 1240, 1196, 1270, 2000, 1136, 1291, 1387, 1097, 1197]","[1226, 2110, 924, 2268, 3175, 3101, 635, 3210, 1682, 527, 2527, 2105, 3507, 2352, 2202]"
5317,"[1198, 1270, 50, 1136, 1079, 2396, 2571, 2028, 1358, 3471]","[1207, 3255, 2875, 2712, 1176, 1811, 2468, 2396, 2243, 1729, 1227, 233, 848, 1951, 50, 3649, 1358, 82, 2361, 1185, 2076, 450, 3911, 3270, 2883, 1094, 17, 1952, 2908, 778, 1639, 3526, 1270, 1198, 1719, 2736, 155, 2080, 446, 1092, 1897, 1641, 2160, 728, 1885, 2406, 1291, 3249, 2145, 3591, 1960, 3101, 3044, 1175, 1799, 1262]"
3065,"[318, 1265, 1196, 2571, 1198, 527, 2028, 1136, 1307, 1097]","[3439, 266, 585, 1513, 3893, 104, 1641, 1148, 2028, 524, 1523, 3253, 2395, 2959, 318, 25, 553, 527, 2692, 300, 1196, 2571, 3129, 1307, 2006]"
4253,"[1198, 541, 527, 1221, 1136, 1097, 1387, 1304, 924, 1265]","[1230, 3365, 954, 541, 1271, 1089, 1387, 553, 1394, 1278, 1207, 1097, 2997, 2670, 1198, 1302, 1193, 1262, 3526, 1276]"
524,"[1196, 260, 50, 1136, 858, 2762, 1387, 589, 541, 2791]","[562, 2140, 786, 177, 2475, 1717, 1278, 2596, 1968, 1249, 2947, 492, 3150, 1206, 3358, 1050, 3676, 1247, 1387, 3424, 653, 2819, 188, 3147, 260, 2348, 1466, 1191, 3735, 1546, 2391, 3397, 1179, 3809, 2912, 2174, 266, 1290, 3763, 3783, 35, 766, 2071, 3033, 2791, 1441, 2976, 1217, 1333, 247, 2333, 1196, 1660, 3478, 2959, 509, 3732, 1918, 541, 1732, 3030, 2609, 2145, 858, 555, 92, 735, 2732, 1246, 1946, 44, 493, 1263, 1089, 543, 2628, 1896, 3911, 2414, 3535, 532, 3169, 215, 1258, 357, 380]"
5310,"[898, 923, 1084, 2186, 750, 926, 1230, 922, 1247, 899]","[1250, 1103, 3334, 2940, 2028, 2920, 899, 898, 926, 1178]"
2124,"[296, 1136, 1196, 260, 1270, 1265, 1208, 1394, 1079, 50]","[750, 2657, 2474, 121, 2355, 2683, 1968, 1263, 2551, 2453, 1730, 1293, 3836, 1096, 3599, 2746, 1835, 1883, 1836, 1673, 2857, 32, 2872, 3361, 1394, 1276, 3681, 2287, 1226, 1663, 2302, 3506, 1963, 1272, 3359, 3196, 3358, 3365, 2116, 943, 1270, 2099, 3090, 337, 2202, 3114, 1945, 246, 3735, 1092, 532, 2352, 2009, 1302, 2759, 2394, 3174, 271, 3210, 1321]"
4312,"[1198, 260, 1036, 1270, 1197, 2028, 858, 1210, 527, 1265]","[338, 1198, 3619, 3478, 2803, 1270, 1206, 1293, 2, 858, 678, 3896, 482, 2278, 1197, 300, 3706, 1729, 3263, 1517, 1394, 1589, 2371, 2121, 1321, 1722, 3396, 3033, 3499, 2908, 2294, 1272, 1285, 1866, 527, 1923, 2028, 1883, 2325, 2502, 2959, 1215, 1671, 3078, 3397, 3671, 3301, 260, 2463, 3018, 1210]"
4310,"[2762, 1270, 1210, 2000, 858, 1, 2918, 1097, 1089, 480]","[1895, 2108, 1250, 3300, 553, 290, 1732, 2406, 3535, 10, 1089, 2058, 3176, 230, 2841, 2959, 3146, 257, 2186, 223, 1222, 2762, 3177, 1100, 3006, 2002, 1, 858]"
2073,"[318, 296, 1198, 1196, 260, 1136, 2918, 858, 2396, 1247]","[708, 2108, 150, 3451, 3317, 661, 3189, 1041, 3128, 2352, 372, 1278, 1250, 3549, 1885, 515, 905, 1946, 3148, 1036, 2077, 2396, 1951, 1096, 529, 2739, 308, 3100, 300, 199, 1095, 858, 3061, 2272, 1354, 2240, 246, 3361, 1247, 3548, 3006, 2333, 2390, 2065, 388, 2918, 1944, 318]"
5256,"[1198, 318, 1197, 1265, 2918, 2194, 1136, 590, 2797, 1393]","[2861, 1393, 708, 524, 3543, 300, 908, 1727, 266, 1079, 1303, 2944, 2194, 2797, 494, 2402, 3448, 3551, 1198, 500, 590, 1944, 899, 3703, 1945, 2248, 1953, 1946, 1193, 317, 21, 1939, 2396, 1197, 3633, 2268, 424, 3214, 1612, 17, 2406, 316, 2250, 1376, 2993, 1958, 2671]"
3158,"[1198, 593, 1270, 589, 1265, 1097, 541, 2997, 1036, 858]","[745, 1356, 2997, 1198, 282, 3105, 851, 1658, 3108, 1270, 247, 2021, 2396, 593, 2959, 508, 3081, 1278, 3114, 3479, 3053, 2826, 750, 3863, 3429, 2329, 2437, 541, 2355, 2333, 2360, 2908, 223]"
714,"[260, 1210, 1610, 2918, 527, 380, 50, 2194, 2797, 590]","[466, 1527, 1370, 2006, 2016, 3247, 2231, 1544, 2572, 267, 141, 3173, 260, 2015, 520, 1024, 1210, 380, 2424, 3697, 2501, 1205, 2123, 1513, 3623, 1485, 3751, 500, 292, 135, 2393, 1015, 2713, 216, 1894, 2628, 648, 2116, 1025, 434, 2683, 1573, 1003]"
3726,"[1097, 593, 296, 2028, 1220, 1307, 356, 527, 2194, 3471]","[1220, 1653, 551, 2006, 1148, 3421, 2012, 1377, 2291, 29, 3527, 3175, 1876, 1641, 3552, 3793, 3701, 3489]"
5182,"[1270, 1198, 260, 2571, 1097, 1240, 1307, 1265, 1, 2000]","[150, 2567, 924, 2793, 2875, 932, 577, 1129, 37, 1270, 1049, 1870, 3552, 451, 3706, 3478, 1271, 158, 2522, 2792, 3210, 356, 1097, 590, 1527, 1895, 3101]"
3285,"[2762, 1265, 1197, 1136, 589, 1097, 2194, 1387, 1210, 1923]","[507, 1883, 2944, 535, 1377, 3213, 1387, 104, 144, 19, 2194, 150, 923, 3683, 52, 2231, 1799, 1276, 2628, 1210, 2424, 2115, 3081, 3256, 3361, 3328, 1923, 161, 1095, 14, 3363, 2761, 1485, 3949, 1841, 1394, 342, 2762, 3916, 1523]"
3874,"[2571, 1036, 1270, 1291, 480, 1197, 1387, 2000, 750, 1610]","[1387, 2105, 2456, 2571, 1220, 316, 1206, 1372, 1590, 3703, 2311, 1291, 329, 1036, 1375]"
5636,"[296, 1208, 750, 318, 1270, 527, 923, 1097, 1278, 2918]","[3468, 2891, 1663, 1208, 3685, 164, 1729, 3634, 3702, 1223, 3811, 1162, 1262, 1186, 527, 2947, 3030, 32, 1527, 1230, 2370, 58, 3552, 2194, 750, 493, 514, 2551, 3361, 2912, 3176, 2949, 3201, 2872, 3556, 1953, 1785, 1183, 1258, 2006, 3681, 1206, 1307, 3730, 2406, 2019, 296, 1249, 2968, 1103]"
1285,"[593, 318, 527, 750, 1221, 1193, 2791, 1288, 1220, 32]","[2966, 288, 2333, 1290, 1690, 215, 3135, 25, 1302, 3755, 3737, 969, 3624, 3067, 3093, 2145, 2912, 2240, 1356, 535, 2971, 1288, 3358, 1129, 750, 3448, 39, 3760, 318, 1957, 3359, 1485, 527, 1594, 1305, 2788, 1375, 3300, 1293, 2791, 2384, 745, 3614, 3836, 3087, 3679, 2539, 2022, 3429, 1641, 2459, 1261, 2970, 2968, 2352, 3653, 2065, 2659, 280, 2243, 2482, 2949, 3107, 1856, 2866, 3427, 2184, 3018, 784, 1193, 593, 3272, 1289, 72, 1221, 2160, 1951, 1094, 1204, 1211, 3083, 3927, 1285, 2180, 3201, 357, 539, 3019, 2290, 2150, 373, 480, 2474, 2247, 3681, 3638, 2730, 233, 562, 2717, 2302, 2702, 1924, 1148, 3591, 2990]"
2878,"[318, 1240, 1210, 593, 1136, 1265, 1, 527, 296, 2028]","[2193, 1, 3176, 3317, 3258, 3507, 1204, 1207, 3364, 1103, 580, 1221, 1095, 2160, 2186, 3114, 1371, 46, 2471, 1373, 1254, 954, 908, 1210, 3175, 1810, 2103, 2761, 3725, 1947, 3363, 1136, 2181, 1230, 924, 541, 2747, 969, 2355]"
5300,"[260, 1079, 1198, 593, 1270, 50, 1197, 318, 1278, 1247]","[1178, 2064, 3703, 3735, 2677, 318, 322, 2959, 1923, 1701, 1261, 1278, 3147, 3700, 1028, 260, 1391, 3424, 3680, 1193, 2396, 1711, 176, 2117, 1965, 3363, 3210, 1202, 3083, 1179, 3358, 3929, 3093, 3468, 1276]"
3200,"[593, 318, 527, 2396, 1196, 260, 1265, 1198, 1704, 858]","[3175, 21, 2248, 3911, 653, 2583, 3102, 2686, 529, 1729, 1732, 1210, 3185, 308, 2357, 593, 1223, 3751, 1188, 3044, 342, 2692, 3114]"
5607,"[2918, 1197, 1198, 260, 356, 318, 2797, 296, 2571, 593]","[1220, 1895, 2889, 1288, 3072, 2424, 585, 3175, 2797, 2406]"
4522,"[260, 296, 1196, 858, 1136, 2762, 1270, 750, 2571, 1240]","[3102, 3654, 1961, 3062, 2769, 1307, 969, 1036, 2889, 858, 2692, 3827, 3543]"
1650,"[1198, 593, 1240, 2762, 1097, 2028, 2918, 858, 1036, 1307]","[1221, 2918, 3608, 1307, 2291, 1240, 235, 1097, 3703, 1198, 2935, 858, 3175, 431, 2012, 593, 2028, 1222]"
2026,"[1196, 1198, 924, 541, 1136, 858, 1278, 1387, 969, 923]","[858, 2951, 2377, 3927, 3311, 2467, 1376, 1221, 1939, 1276, 1375, 1290, 2657, 3368, 935]"
3717,"[1198, 260, 318, 1210, 1097, 296, 1, 589, 2000, 2797]","[1198, 318, 2302, 2841, 296, 3868, 589, 337, 1246, 1097, 2248, 150, 2788, 1257, 2361, 1193, 1304, 1231, 1356, 2139, 1, 3203, 3534, 329, 2393, 1210, 2752, 2297, 2355, 260, 3147, 32, 1079, 2628]"
4507,"[1198, 1036, 589, 1097, 2918, 318, 1610, 296, 1387, 480]","[2012, 2046, 1090, 2033, 480, 2193, 3053, 3793, 1097, 1517, 2692, 2115, 2105, 1089, 1206, 2641, 1777, 1092, 2353, 441, 2395, 349, 3671, 2959, 1198]"
3101,"[1198, 1291, 1136, 2028, 1610, 1097, 2918, 480, 1387, 858]","[380, 1136, 3638, 1610, 2019, 1961, 1641, 1722, 1371, 2470, 3704, 2403, 3256, 1291, 1215, 2193, 3396, 480, 2080, 2396, 1222, 3421, 2989, 1425, 3452, 1249, 1307, 661, 1198, 1080, 1304, 2268, 2406, 2058]"
5986,"[1247, 923, 527, 318, 593, 858, 1084, 1230, 1704, 1097]","[1953, 969, 1265, 1188, 1293, 902, 2352, 1247, 1230, 2248, 1197, 1132, 1393]"
3560,"[260, 1270, 2918, 2028, 1704, 2571, 1136, 2396, 858, 1240]","[778, 2908, 3361, 1089, 1179, 280, 3408, 590, 300, 2080, 3397, 260, 342, 2291, 1704, 2353, 2028, 1947]"
5626,"[1198, 260, 1240, 1036, 1196, 2000, 2194, 858, 2571, 1210]","[3639, 3418, 920, 480, 356, 3768, 3196, 3062, 2000, 2001, 3623, 1272, 2669, 3137, 150, 3801, 688, 2530, 2115, 1936, 3074, 1090]"
4653,"[593, 260, 527, 1247, 2396, 1197, 1221, 2028, 1208, 1193]","[3185, 1673, 2971, 3783, 3097, 2396, 2501, 1276, 1648, 1231, 3855, 3007, 1633, 1172, 922, 1238, 1036, 1262, 969, 2108, 3091, 260, 527, 3515]"
1004,"[1196, 260, 1270, 1240, 1291, 2918, 1097, 2797, 480, 1387]","[2872, 2918, 3175, 2294, 2371, 1387, 1033, 260, 2641, 3052, 2139, 3396, 1196, 3868, 1226, 1500, 1372, 1291, 2002, 2376, 2991, 2110, 112, 1270, 2375]"
4901,"[1198, 260, 858, 1097, 2028, 1136, 593, 541, 296, 318]","[1028, 3671, 3365, 1307, 2628, 3360, 527, 541, 1376, 3081, 2403, 260, 3072, 1198, 858, 2011, 1257, 1204, 292, 2641, 2762, 10, 2736]"
6016,"[858, 318, 1196, 1265, 50, 1270, 1193, 1097, 1240, 2396]","[2918, 3334, 1960, 3328, 3834, 1094, 1276, 1874, 3114, 1080, 858, 3111, 2762, 898, 590, 3201, 851, 471, 1089, 265, 3245, 1844, 1701, 3163, 2527, 1, 368, 2303, 2202, 58, 3685, 2600, 2144, 3211, 628, 2692, 3358, 1185, 1836, 357, 1246, 2396, 348, 3419, 1964, 509, 3129, 714, 922, 1953, 318, 1611, 2750, 1694]"
4882,"[1136, 1196, 3471, 1278, 1270, 3363, 1197, 2194, 2918, 296]","[1235, 3769, 2949, 3512, 1964, 1150, 2788, 2657, 3543, 1136, 1371, 1663, 1965, 2918, 1278, 1210, 3427, 2819, 3362, 2746, 1959, 3359]"
123,"[1198, 318, 2028, 2571, 2918, 1197, 3471, 1307, 1265, 1610]","[383, 150, 25, 2401, 707, 1459, 1394, 3044, 356, 1704, 1231, 1610, 1960, 3102, 1997, 318, 3204, 2011, 292, 1193, 1198, 1968, 500, 2789, 2991, 2947, 2791, 897, 3418, 1129, 2028, 969]"
2230,"[1704, 593, 296, 150, 1358, 2762, 2028, 300, 2268, 1682]","[1412, 337, 1358, 529, 3418, 2268, 105, 2071, 3255, 1271, 2426]"
3756,"[260, 1270, 1210, 1240, 356, 1197, 2028, 593, 2797, 1393]","[551, 3479, 168, 899, 1370, 2788, 858, 786, 2174, 1270, 1100, 1183, 410, 1923, 282, 628, 1711, 3255, 1393, 2997, 3263, 2001, 1527, 1028, 507, 260, 2539, 1968, 3499, 2236, 597, 1500, 2947, 3397, 1894, 2797, 1387, 316, 3483, 2083]"
5957,"[1196, 1198, 1270, 296, 1, 1036, 32, 50, 1291, 318]","[480, 2021, 3253, 3052, 3398, 3087, 2810, 1258, 1196, 180, 2139, 2161, 3448]"
1100,"[1288, 2918, 1265, 296, 1, 1278, 1270, 2174, 2997, 1198]","[663, 2395, 1711, 176, 1500, 1732, 1884, 1265, 223, 1923, 1454, 1278, 3363, 1288, 180, 661]"
2810,"[1196, 1270, 260, 2571, 1097, 593, 1265, 1393, 2918, 1036]","[1196, 2335, 2, 524, 593, 558, 2424, 2701, 1968, 317, 260, 920, 2396, 1012, 27, 1358, 3755, 3623]"
855,"[1136, 1196, 260, 1198, 527, 858, 2396, 1704, 235, 1278]","[1246, 858, 1089, 1057, 745, 1002, 32, 215, 902, 3819, 2396, 3087, 1211, 1025, 1923, 602, 3893, 1148, 11, 1777, 1249, 527, 3514, 1297, 2683, 1171, 2969, 1513, 507, 1484, 1680, 1500, 1268, 1285, 3408, 123, 955, 2329, 1904, 3273, 1836, 1291]"
3029,"[1136, 1, 1036, 356, 3471, 2194, 2804, 480, 1221, 150]","[2302, 1221, 1272, 1285, 3911, 1136, 52, 415, 509, 2, 3893, 1777, 1080, 745, 2369, 25, 2243, 493, 381, 2108, 2371, 1682, 2048, 480, 1281, 616, 356, 3361, 2692, 342, 1573, 3256, 1952, 3685, 2194, 535, 2747, 3421, 508, 2115, 898, 3418, 3450, 2046, 899, 2468, 551, 2352, 668, 1611, 3471, 3091, 3147, 2144, 661, 2463, 969, 492, 3108, 2268, 2141]"
3428,"[318, 1198, 260, 593, 858, 1196, 296, 1097, 1270, 1307]","[3425, 539, 1299, 1747, 3528, 1293, 3733, 446, 2620, 2870, 1304, 750, 678, 1959, 300, 3148, 3100, 1302, 1246, 1945]"
1031,"[260, 1387, 1197, 1097, 1527, 2947, 3471, 3256, 2628, 1220]","[2944, 1049, 3175, 3763, 2949, 260, 750, 1129, 2406, 2532, 3256, 544, 3635, 3555, 2948, 2393, 316]"
3082,"[1198, 1196, 1270, 1265, 858, 1240, 1394, 1, 1968, 1079]","[555, 2352, 2359, 1235, 2268, 1968, 1361, 2312, 1271, 500, 1641, 3448, 3100, 2657, 1208, 349, 3423, 2501, 3671, 3105, 1172, 1535, 3396, 104, 1090, 1012, 1080]"
3695,"[1196, 1198, 1136, 589, 2918, 1291, 2762, 2000, 541, 1968]","[2140, 1447, 380, 1231, 2370, 292, 3158, 1968, 223, 327, 2110, 1777, 1291, 3793, 1198, 3108, 1500, 1196, 2111, 3418, 2791, 357, 513, 3398, 861, 589, 471, 2048, 2001, 2406, 1136, 1923, 85, 3396, 1658, 858, 3623, 1278]"
4686,"[858, 750, 593, 296, 1221, 318, 3471, 1097, 1197, 2571]","[2863, 50, 25, 750, 969, 3361, 1945, 1394, 1222, 29]"
2581,"[593, 318, 1198, 1196, 1136, 1270, 750, 1097, 1193, 1240]","[1231, 1084, 3101, 1095, 3468, 3152, 25, 3219, 922, 475, 318, 2804, 2935, 232, 1946, 3733, 3543, 1968, 3360, 3730, 1206, 750, 593, 969, 144, 3148, 926, 2243, 3147, 3362, 3549, 1939, 3420, 1263, 2686, 3801, 2184, 2352, 3789, 3095, 3424, 2581, 508]"
1203,"[296, 260, 1270, 1097, 858, 2918, 1210, 356, 541, 1923]","[899, 3108, 2947, 1633, 1097, 39, 1188, 3006, 2302, 2294, 2610, 2692, 2507, 2707, 3175, 2600, 3186, 3489, 1921, 246, 858, 1610, 1678, 3624, 3618, 2437, 1883, 647, 1639, 3534, 296, 348, 3614, 1794, 1356, 3809, 778, 1485, 541, 465, 2973, 488, 3536, 3185, 2007, 1500, 1552, 372, 224, 1204, 1051, 1945, 506, 493, 3046, 543, 1953, 2579, 25, 203, 1120, 2064, 3915, 426, 1293]"
2323,"[1196, 260, 593, 2571, 1270, 858, 1394, 50, 2791, 1265]","[144, 3354, 1321, 1639, 593, 3169, 529, 235, 2657, 2762, 337, 3918, 3173, 551, 611, 2361, 3052, 858, 1080, 2530, 3543, 3421, 3702, 1042, 2459, 1291, 1265, 1394, 1228]"
716,"[1610, 1136, 2194, 541, 2918, 32, 1220, 3471, 1968, 1307]","[3107, 2058, 2991, 920, 32, 2353, 2194, 2123, 1090, 449, 208, 3512, 1884, 2141, 224, 2006, 1663, 2947, 3275, 1220, 610, 1923, 2355, 2406, 1783, 628, 2399, 44, 2012, 1261, 3249, 2193, 1025, 15, 1639, 1921, 924, 1653]"
3890,"[1196, 296, 260, 2918, 1270, 318, 593, 1197, 1198, 1240]","[50, 593, 1610, 2918, 2791, 21, 858, 3255, 1270, 3755]"
10,"[2571, 1210, 1265, 2797, 1036, 356, 593, 589, 527, 2028]","[2424, 1356, 2498, 3593, 2049, 1831, 344, 1210, 1441, 329, 2080, 2496, 317, 527, 2355, 1959, 1376, 2797, 2047, 1293, 1215, 589, 356, 2371, 2405, 2054, 2294, 802, 2804, 2501, 1025, 2, 1265, 3114, 1380, 1947, 597, 2571]"
3888,"[858, 1136, 1208, 1196, 1207, 527, 1198, 296, 1221, 1084]","[914, 920, 2019, 969, 1103, 1732, 2920, 1185, 1050, 2396, 1207, 2291]"
1655,"[1198, 1197, 1210, 1240, 296, 593, 1, 50, 1136, 1097]","[3052, 50, 333, 1097, 434, 161, 3033, 1015, 480, 3254, 1210]"
1345,"[1197, 1198, 1923, 2918, 1307, 296, 318, 2762, 593, 1210]","[708, 3114, 205, 11, 380, 333, 1821, 1641, 1249, 450, 2539, 3263, 1188]"
3045,"[260, 1198, 541, 858, 50, 318, 1210, 1136, 1097, 924]","[858, 1212, 260, 373, 1210, 318, 2021, 1198, 924, 2011, 1069, 2968, 32, 2554, 541, 671, 2391]"
5090,"[1198, 1270, 1136, 1097, 318, 3471, 541, 527, 2918, 50]","[2001, 1120, 318, 2997, 1303, 2311, 1198, 920, 223, 3528, 541, 2111, 955, 3683, 2976, 2442, 3100, 3827, 2959, 2804, 1947, 1333, 1291, 1968, 1304, 3702, 2132, 1089, 1136, 509, 2146, 357, 2109, 3114, 1921, 745, 3201, 3526, 851, 1387, 852, 2145, 3591, 2174, 3266, 356, 2287, 160]"
2776,"[2918, 593, 1198, 1307, 2571, 1, 50, 2762, 260, 1036]","[1498, 593, 3176, 2791, 1097, 3608, 3526, 2375, 2396, 2262, 1222, 1183, 1307, 253, 2474, 2501, 2918, 3098, 3809, 1711, 3100, 2268, 2628]"
390,"[296, 260, 750, 1278, 1196, 541, 1197, 50, 1198, 1258]","[1970, 1997, 1261, 1171, 2357, 3730, 3351, 2159, 260, 3021, 1387, 1258, 3910, 2003, 2174, 2160, 3289]"
1281,"[296, 318, 527, 50, 1358, 1673, 2997, 1247, 923, 2396]","[334, 535, 3783, 318, 3897, 3006, 515, 3910, 1358, 1187, 306, 232]"
4371,"[2762, 1393, 356, 1197, 1, 1307, 39, 1265, 539, 318]","[1680, 1755, 302, 356, 39, 2443, 1188, 3273, 3186, 1210, 2761]"
3746,"[296, 1291, 589, 1265, 1, 2797, 2762, 1222, 1307, 480]","[1371, 3363, 2791, 2268, 11, 3301, 3101, 431, 2311, 2405, 70, 3360, 2261, 1997, 1840, 1641, 2406, 2077, 3147, 1221, 1222, 2401, 1257, 3807, 1228]"
2116,"[1196, 1270, 1210, 1291, 1265, 2918, 2000, 296, 527, 1968]","[380, 419, 2291, 1835, 1883, 432, 333, 292, 2722, 3638, 2953, 2671, 2598, 3249, 2628, 2054, 3512, 357, 500, 708, 2103, 3176, 908, 2058, 1042, 3478, 355, 2600, 1711, 2161, 1100, 3751, 158, 1866, 494, 153, 1012, 62, 3882, 3783, 1196, 216, 1231, 2572, 1968, 1291, 2918, 1363, 1821, 2029, 1438, 11, 1707, 1270, 524, 2399, 31, 1222, 3868, 1210, 239, 3552, 1271, 2125, 351, 1686, 52, 3555, 1958, 2771, 1090, 2485, 3513, 344, 2959, 2006]"
1325,"[1196, 858, 1270, 1197, 593, 296, 541, 318, 1394, 923]","[1196, 1291, 3675, 1270, 2194, 541, 950, 3396, 2390, 1197, 223, 1250, 924, 1307, 898, 1610, 858, 3424, 616, 1394, 1281, 2857, 296, 905, 1223, 593, 900, 1258]"
5530,"[1196, 1198, 1136, 1394, 1, 527, 2571, 2762, 1079, 1968]","[246, 1031, 2396, 923, 920, 590, 3444, 32, 1680, 3210, 3448, 2997, 3408, 3396, 205, 3479, 2502, 72, 1119, 3019, 349, 3317, 1968, 2804, 2912, 1302, 2410, 11, 3105, 1258, 2071, 1732, 716]"
4789,"[2571, 1196, 260, 1198, 1240, 589, 1270, 527, 50, 356]","[2108, 539, 1719, 3186, 2571, 1610, 356, 527, 589, 427, 1590, 2248, 1885, 1092, 1049, 1466, 3274, 2058, 300]"
2985,"[260, 1240, 1291, 1036, 2000, 1610, 1, 2028, 356, 3471]","[2762, 260, 1291, 1370, 2041, 2701, 1, 153, 2642, 1240, 1377, 3489, 2161, 3114, 2162, 2140, 2712]"
5593,"[1197, 2028, 1387, 1136, 3471, 318, 858, 1220, 2918, 2194]","[3471, 3256, 924, 954, 380, 1321, 1230, 1304, 1387, 1373, 1831, 1136, 2857, 10, 3247, 2791]"
2910,"[1198, 1197, 1240, 1270, 589, 50, 318, 1, 1036, 2762]","[3908, 1261, 366, 1639, 1970, 3838, 1799, 1717, 1831, 1376, 1874]"
1837,"[1270, 2571, 50, 1197, 527, 2918, 3471, 541, 1394, 1208]","[246, 538, 2734, 535, 2076, 1258, 300, 247, 2968, 778, 3639, 3114, 2340, 1594, 1732, 1310, 1222, 2064, 2005, 541, 1589, 2572, 1257, 3421, 1270, 1380, 2970, 3396, 1897, 208, 3358, 50, 380, 198, 1785, 1079, 2712, 1249, 708, 3363, 527, 3424, 1183, 2204, 480, 3793, 1965, 3471, 673, 58, 2796, 3703]"
2895,"[296, 318, 1270, 2918, 1265, 1240, 1197, 1036, 1, 2762]","[3793, 1258, 1719, 529, 1265, 296, 3317, 1245, 3703, 2011, 344, 2065, 3859, 356, 2762, 3263, 1096, 1, 1270, 2997, 2467, 144, 2012, 318, 3916, 2019, 1285, 861, 2431, 1249, 280, 1291, 647, 2693, 2108, 3105, 1997, 3498, 1036, 3755, 3543, 1660, 1129, 349, 1923, 3301, 3174, 342, 1240, 2355, 2991, 3387]"
2380,"[593, 1198, 2028, 1196, 1270, 2762, 1307, 260, 1, 2571]","[2194, 3646, 1079, 3755, 2028, 1222, 2000, 2125, 1500, 593, 647, 1136, 150, 991, 553, 1747, 932, 3809, 3033, 3108, 902, 3534, 3513, 2959, 1968, 2791, 529, 1394, 431, 1722, 2297, 1777, 2268, 2396]"
4467,"[260, 1270, 1196, 2797, 1136, 2918, 1197, 1265, 1079, 3471]","[2291, 2174, 1968, 1936, 2663, 3152, 356, 1394, 3548, 2470, 1207]"
3243,"[1240, 1197, 1210, 1265, 1, 2028, 296, 1291, 1097, 1610]","[2991, 1125, 3536, 3513, 50, 368, 2501, 1210, 3527, 527, 1722, 296, 1080, 2671, 3821, 2797, 2028, 1876, 858, 1208, 2724, 529, 1090, 1769, 3688, 292, 3703, 1206, 2628, 172, 1265]"
5000,"[593, 1610, 589, 1, 1136, 527, 590, 50, 1968, 2791]","[786, 2641, 2803, 3274, 3635, 300, 1375, 3639, 3697, 3072, 3129, 2973, 2991, 3688, 2268, 539, 2959, 1376, 2376, 1377, 2193, 424, 3498, 1186, 2054, 2080, 1333, 1610, 3527, 590, 593, 349, 1302, 1286, 527, 306, 3214, 1727, 1883, 1711, 2628]"
518,"[318, 527, 296, 1198, 260, 1196, 858, 1136, 1197, 50]","[1198, 1704, 1094, 527, 1951, 2707, 2630, 2969, 3512, 1417, 2875, 3451, 597, 1172, 908, 1680, 2710, 2997, 1031, 932, 1197, 46, 898, 920, 2243, 1656, 2181, 2539, 318, 955, 296, 2028, 1354]"
4796,"[1198, 1270, 2571, 318, 1265, 1097, 1240, 527, 1079, 1210]","[380, 950, 1210, 1682, 922, 39, 3052, 2139, 2150, 1913, 337, 1084, 1179, 951, 2384, 2333, 1885, 203, 3701, 21, 1281, 446, 899, 1240, 2355]"
